"cid","risk01r","risk02r","risk03i","risk04i","bene01d","bene02r","bene03r","bene04d","trus01r","trus02r","trus03d","trus04d","acce01r","acce02r","acce03d","acce04d"
"106","5","5","4","4","5","5","5","5","5","4","4","4","3","4","4","4"
"107","1","1","2","2","3","1","3","3","4","2","3","3","1","1","3","2"
"108","1","3","2","2","3","2","3","1","3","4","3","4","1","1","3","2"
"109","2","4","3","2","4","2","4","3","2","3","4","4","2","2","2","2"
"110","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3"
"111","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3"
"112","3","3","4","4","4","4","4","4","3","4","4","4","4","3","4","3"
"113","3","3","3","4","4","3","4","4","3","3","4","3","4","3","4","4"
"114","3","1","3","2","2","2","4","2","1","3","2","2","1","1","2","2"
"115","1","1","1","3","5","5","3","3","1","5","3","1","1","1","5","5"
"116","1","1","1","2","4","2","2","2","2","4","4","5","1","1","2","2"
"117","3","3","4","3","4","3","3","4","3","4","4","4","3","5","4","3"
"118","4","4","4","5","4","5","5","5","5","5","5","5","3","5","5","5"
"119","1","2","1","1","5","2","3","1","2","3","1","3","1","1","1","2"
"120","2","1","2","3","4","4","3","4","2","5","4","5","1","2","3","2"
"121","4","2","3","2","3","4","4","4","3","4","4","3","2","4","4","2"
"122","4","4","4","4","4","4","4","5","2","2","4","5","4","4","4","4"
"123","2","3","3","4","4","3","3","2","2","3","3","2","2","2","4","3"
"124","1","2","1","2","4","2","1","2","3","3","3","3","2","2","2","2"
"125","2","2","2","4","3","4","5","3","4","2","4","3","4","5","3","2"
"126","3","3","4","5","5","5","5","5","4","4","5","5","5","2","4","5"
"127","2","3","2","1","2","3","2","2","2","4","3","3","2","4","4","2"
"128","2","3","2","2","4","4","3","3","2","4","2","2","3","4","2","3"
"129","3","2","3","3","3","3","3","3","2","3","2","3","2","2","3","3"
"130","4","3","5","5","5","5","5","5","4","5","5","5","5","5","5","5"
"131","3","3","2","4","4","3","3","3","4","4","3","4","2","3","2","3"
"132","2","2","3","5","5","4","4","4","1","3","5","3","3","4","4","4"
"133","1","1","1","5","4","3","5","5","3","5","1","5","2","1","1","1"
"134","2","2","2","2","2","3","3","1","1","5","2","5","2","3","2","2"
"135","1","1","1","2","4","2","4","1","1","3","4","3","1","3","3","2"
"136","1","2","4","5","3","2","4","5","1","2","5","5","3","3","4","4"
"137","1","3","1","3","3","4","3","4","3","5","3","3","3","3","3","4"
"138","1","4","1","3","1","3","4","4","3","3","4","4","5","3","4","2"
"139","3","3","3","3","4","2","3","4","1","5","4","5","4","3","2","3"
"140","2","3","3","2","3","3","4","2","2","2","4","3","4","1","2","4"
"141","2","2","3","3","3","3","3","3","3","5","4","5","3","3","2","3"
"142","1","1","1","3","1","1","1","3","1","5","5","5","1","2","1","1"
"143","2","3","2","4","2","2","3","4","3","3","3","3","1","3","2","3"
"144","2","3","2","3","3","1","2","1","2","2","3","3","1","1","2","2"
"145","1","2","2","2","3","2","2","4","3","2","3","4","2","1","3","3"
"146","2","1","2","3","2","2","3","3","1","2","1","1","1","3","3","3"
"147","2","1","2","3","3","2","3","4","1","2","4","4","3","1","3","3"
"148","1","1","2","3","2","2","3","3","1","5","3","4","3","1","1","1"
"149","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","2"
"150","1","1","1","3","2","3","1","3","1","3","3","3","1","1","1","1"
"151","2","1","2","4","2","1","4","2","1","3","3","4","1","1","2","1"
"152","1","1","1","1","3","1","5","3","3","3","5","5","1","1","5","1"
"153","2","1","2","5","2","1","1","4","3","4","3","5","1","1","3","2"
"154","1","1","1","1","5","1","5","3","1","5","5","5","1","4","3","2"
"155","5","5","5","5","4","5","5","5","5","3","5","5","3","5","1","3"
"156","1","1","1","1","4","2","2","2","1","4","2","4","2","1","2","1"
"157","2","1","2","2","3","2","3","3","1","3","3","3","3","2","4","2"
"158","2","2","1","2","4","3","2","3","3","4","3","3","2","2","2","2"
"159","2","2","3","3","4","2","2","4","2","2","4","4","2","2","3","2"
"160","1","1","2","2","2","2","4","2","3","3","2","4","2","2","2","2"
"161","4","2","3","5","5","5","5","5","2","5","5","5","5","5","4","5"
"162","2","3","2","2","5","3","3","4","3","5","4","5","2","5","3","2"
"163","2","3","3","3","4","3","4","4","2","4","4","3","4","3","3","3"
"164","3","2","3","2","5","2","3","3","2","1","1","5","4","1","2","3"
"165","2","2","3","5","5","5","5","5","3","5","5","5","5","5","5","5"
"166","1","1","1","2","3","3","3","3","5","1","5","5","1","3","2","2"
"167","4","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5"
"168","5","5","4","5","5","5","5","5","5","5","5","5","3","3","5","5"
"169","2","2","2","2","4","3","3","3","3","4","3","4","2","3","3","2"
"170","1","1","1","1","1","3","1","2","1","5","5","5","1","1","1","1"
"171","1","1","1","3","2","2","2","4","1","3","4","4","1","1","3","2"
"172","2","1","1","1","5","1","3","3","1","5","5","5","1","1","1","1"
"173","1","1","1","1","1","1","1","1","1","5","1","4","1","1","1","1"
"174","2","1","2","3","3","2","4","3","2","3","3","3","1","2","2","2"
"175","3","3","3","3","3","3","3","3","3","3","4","3","3","2","4","3"
"176","2","2","3","4","3","3","3","3","1","3","4","3","3","3","1","3"
"177","2","2","3","4","4","3","2","3","2","3","3","3","3","3","1","3"
"178","1","1","1","3","1","5","1","1","1","1","3","1","1","1","1","1"
"179","1","1","1","1","2","1","1","1","2","5","2","2","1","1","1","1"
"180","1","1","1","2","2","1","1","1","1","2","5","5","1","1","1","1"
"181","2","2","3","2","3","2","3","3","3","3","2","5","3","2","3","2"
"182","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"183","2","3","2","3","4","3","4","3","3","4","4","4","3","4","5","2"
"184","3","3","3","3","3","3","3","4","3","4","3","5","3","4","4","2"
"185","3","1","3","5","3","1","3","5","1","1","3","5","3","1","5","3"
"186","1","1","1","2","3","3","1","2","1","5","4","2","3","1","1","2"
"187","4","1","4","5","5","4","5","5","1","5","5","4","1","4","4","3"
"188","1","1","1","5","5","1","1","3","1","1","3","5","1","1","1","1"
"189","3","2","3","3","3","3","3","3","2","3","3","2","3","3","3","3"
"190","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3"
"191","1","1","1","1","1","1","1","5","3","5","1","4","1","1","1","1"
"192","1","1","5","1","1","5","1","5","5","1","1","5","1","1","5","1"
"193","3","2","4","4","3","4","4","4","3","4","4","2","4","4","4","4"
"194","3","2","2","3","3","3","3","2","2","4","3","2","2","2","2","2"
"195","3","3","3","4","3","4","2","4","2","3","3","2","3","3","4","4"
"196","2","2","2","3","3","2","2","3","3","2","4","5","2","2","3","2"
"197","3","1","1","3","3","1","1","1","3","2","3","3","3","1","1","1"
"198","2","2","2","2","4","4","2","4","2","4","4","2","2","2","2","2"
"199","2","2","2","2","2","2","2","3","2","2","2","4","3","2","3","2"
"200","2","1","2","3","4","3","4","5","3","3","3","4","1","2","2","2"
"201","3","3","3","3","4","3","3","4","1","3","4","3","2","2","3","2"
"202","1","1","1","1","5","1","1","4","1","3","5","4","1","1","1","1"
"203","1","5","1","4","2","2","3","2","3","1","3","3","1","2","4","2"
"204","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"205","1","1","1","3","5","2","3","5","1","5","5","5","2","1","3","2"
"206","3","3","3","5","3","5","5","3","1","1","5","1","5","5","5","3"
"207","3","1","3","1","3","1","3","2","1","1","2","1","4","1","2","3"
"208","2","4","3","3","5","3","3","2","2","4","5","4","3","1","2","3"
"209","3","2","2","2","3","2","4","4","3","3","3","4","3","4","3","3"
"210","2","2","3","2","3","2","4","3","1","4","4","4","3","3","3","2"
"211","2","2","2","2","1","3","3","4","1","3","3","3","1","1","3","2"
"212","2","2","2","2","2","3","2","4","1","5","2","4","1","2","2","1"
"213","1","1","1","1","1","1","1","3","3","5","5","5","1","1","1","1"
"214","1","1","2","2","2","1","1","1","1","3","5","4","1","1","4","1"
"215","3","1","3","3","3","1","3","3","1","2","2","3","2","2","2","3"
"216","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"217","2","2","3","3","2","2","3","3","2","2","3","3","3","3","3","3"
"218","1","1","3","3","2","3","3","3","3","3","3","3","1","3","3","3"
"219","1","1","1","3","1","3","3","4","2","5","5","3","1","5","3","2"
"220","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"221","3","3","3","5","4","2","3","4","4","3","4","2","2","3","3","3"
"222","1","1","1","1","3","1","1","3","3","2","1","5","1","1","3","1"
"223","1","2","2","2","2","3","3","2","4","3","4","3","1","3","3","2"
"224","1","1","1","1","1","1","1","1","1","1","5","1","1","1","1","1"
"225","2","3","3","3","4","3","3","3","2","2","3","3","3","1","3","3"
"226","3","1","3","1","3","1","1","1","1","5","5","1","3","1","1","1"
"227","2","3","3","3","3","3","3","3","3","3","3","3","2","2","3","3"
"228","3","2","3","3","3","3","3","4","2","4","4","3","1","1","3","3"
"229","2","2","3","4","4","3","3","4","4","4","4","4","2","2","3","3"
"230","1","1","3","2","5","5","5","5","5","5","3","5","2","3","4","3"
"231","1","1","1","1","2","1","1","1","5","5","1","1","1","1","5","1"
"232","1","3","3","1","1","3","1","1","3","5","1","5","1","1","1","1"
"233","1","2","1","3","1","1","1","1","3","3","4","1","1","1","1","1"
"234","1","1","1","1","2","1","1","2","1","3","2","2","1","1","1","1"
"235","2","3","3","1","2","1","1","4","2","1","1","1","1","1","1","1"
"236","1","1","1","1","1","2","1","1","2","5","2","5","1","1","1","1"
"237","1","1","1","1","1","5","5","1","1","1","1","5","1","1","1","1"
"238","2","2","2","2","2","3","3","3","2","3","3","3","1","2","3","2"
"239","2","3","2","3","2","3","2","4","2","3","3","4","3","3","3","3"
"240","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"241","1","1","1","1","3","1","1","3","1","1","5","4","1","1","2","2"
"242","1","1","1","1","5","1","5","1","1","3","3","3","1","1","1","1"
"243","1","1","3","3","3","3","3","3","1","1","5","3","2","1","5","3"
"244","3","1","3","1","3","3","3","3","1","4","2","2","2","3","3","2"
"245","2","3","3","3","3","2","3","3","2","2","4","5","2","1","4","4"
"246","4","1","4","3","2","3","2","3","3","1","3","3","4","1","3","3"
"247","2","2","3","3","3","2","3","3","3","1","3","5","2","3","3","2"
"248","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"249","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"250","3","1","2","2","2","1","3","3","2","3","5","4","2","2","4","2"
"251","1","1","1","1","1","1","1","1","1","3","1","5","1","1","1","1"
"252","2","3","3","3","3","3","3","3","1","5","4","5","3","3","3","3"
"253","2","3","2","2","3","3","3","4","1","3","4","3","2","2","2","2"
"254","3","1","3","3","3","3","3","4","3","4","4","4","2","1","5","3"
"255","2","3","1","4","5","2","2","4","2","2","4","2","1","1","4","2"
"256","2","1","2","4","3","3","3","3","3","3","4","4","1","3","3","2"
"257","4","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3"
"258","5","3","5","5","5","5","5","5","3","5","5","5","5","5","5","5"
"259","2","2","1","3","5","2","3","3","3","1","4","3","3","1","3","2"
"260","1","1","2","1","4","3","2","3","2","5","5","3","1","1","3","3"
"261","1","3","3","1","5","3","1","1","3","5","3","3","3","5","3","3"
"262","1","1","1","1","2","1","1","1","1","4","3","2","1","1","1","1"
"263","2","1","2","3","4","3","3","4","3","5","4","4","3","2","3","3"
"264","2","3","3","3","3","2","3","1","5","4","4","5","2","2","3","3"
"265","3","1","1","5","2","1","1","3","1","1","1","1","2","1","5","3"
"266","2","1","2","2","2","2","2","2","2","4","4","2","1","2","2","2"
"267","1","1","1","1","5","1","1","3","1","1","5","1","1","1","1","1"
"268","2","1","1","1","2","1","1","1","1","1","1","1","3","1","2","1"
"269","1","1","1","1","2","2","1","2","2","3","3","2","1","1","1","1"
"270","1","1","1","4","3","3","3","3","1","3","4","4","1","1","4","3"
"271","2","1","3","2","3","2","3","3","2","3","4","4","2","1","3","3"
"272","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"273","2","2","3","2","3","3","3","3","2","3","3","4","3","2","4","3"
"274","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"275","3","3","3","4","4","3","3","4","3","5","4","4","3","2","3","3"
"276","2","1","3","5","5","5","5","5","3","3","3","3","4","5","5","5"
"277","1","1","2","3","3","3","3","4","2","3","5","3","3","3","3","3"
"278","1","2","2","3","4","3","2","4","3","3","3","3","1","3","3","3"
"279","2","2","2","2","2","3","2","2","2","5","4","5","1","1","2","1"
"280","2","2","3","2","4","4","4","4","4","5","2","3","4","3","4","2"
"281","3","3","3","3","2","3","3","3","1","3","3","3","1","1","3","3"
"282","2","1","3","3","1","3","3","3","1","3","3","3","1","3","3","3"
"283","2","1","2","3","4","2","2","3","2","4","3","3","2","2","3","2"
"284","4","3","4","3","1","5","2","5","4","3","3","1","2","1","5","3"
"285","1","3","2","5","4","2","2","1","1","3","5","5","1","1","1","2"
"286","2","3","2","2","3","2","3","3","3","4","2","4","2","2","2","2"
"287","3","2","3","3","3","2","3","3","2","2","4","4","3","2","3","3"
"288","1","1","1","1","2","1","1","4","2","2","2","4","1","1","2","1"
"289","3","3","2","4","2","3","3","4","3","4","3","4","1","3","3","3"
"290","2","1","2","4","2","2","2","4","1","5","2","1","2","2","2","2"
"291","2","1","3","3","2","3","3","3","3","3","3","3","1","3","3","2"
"292","2","2","2","3","3","3","4","4","2","2","3","4","2","2","2","2"
"293","1","1","1","1","3","1","1","1","1","5","5","1","1","1","3","2"
"294","1","1","1","2","2","1","2","2","1","4","3","2","1","1","1","1"
"295","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"296","2","1","3","4","3","4","4","5","2","5","5","5","3","4","4","4"
"297","5","5","5","5","5","5","5","5","1","5","5","5","5","5","5","5"
"298","2","2","2","2","4","1","3","2","1","3","3","3","1","1","2","2"
"299","1","1","1","1","1","1","1","3","5","5","3","5","1","1","1","1"
"300","2","1","3","3","3","3","4","4","3","3","3","3","3","1","2","2"
"301","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"302","1","3","3","4","3","2","4","4","2","4","4","4","2","4","3","3"
"303","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3"
"304","1","2","1","2","4","2","2","4","2","3","3","4","1","2","3","2"
"305","1","2","1","1","1","1","1","2","1","1","2","1","1","2","1","2"
"306","1","1","1","1","1","2","1","1","1","5","1","1","1","1","1","1"
"307","1","3","4","4","4","2","4","4","1","4","4","5","3","4","4","4"
"308","2","2","3","2","3","2","3","3","3","3","4","4","3","1","3","3"
"309","4","4","4","5","4","4","3","3","3","4","4","4","4","3","4","4"
"310","2","3","4","4","4","5","4","4","4","5","4","4","1","2","4","3"
"311","3","2","3","3","3","1","3","3","3","1","3","3","4","2","2","3"
"312","1","1","1","1","1","5","5","1","1","5","5","5","1","1","1","1"
"313","3","4","3","4","4","3","3","3","3","3","4","3","4","2","4","3"
"314","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3"
"315","3","5","3","3","3","4","4","3","1","5","4","3","3","3","3","3"
"316","2","1","2","2","3","3","3","2","2","4","4","3","4","3","3","3"
"317","3","3","3","3","3","3","3","3","1","3","3","3","3","1","3","3"
"318","3","1","3","2","3","3","3","3","1","3","3","4","3","2","3","3"
"319","4","4","4","5","4","4","4","5","3","4","4","4","4","5","5","5"
"320","5","3","4","5","4","2","3","2","1","5","5","3","4","2","4","3"
"321","2","3","2","3","3","3","3","2","2","3","3","3","2","2","4","2"
"322","2","2","2","3","1","2","3","3","1","4","4","4","1","3","2","2"
"323","2","2","2","3","3","3","4","4","3","4","4","4","3","4","3","2"
"324","1","1","1","1","1","1","1","5","3","5","3","5","1","1","1","1"
"325","3","2","3","3","3","3","3","3","3","3","3","3","3","1","2","3"
"326","2","1","2","2","4","2","2","2","1","2","4","5","1","1","2","1"
"327","3","4","3","2","4","4","4","4","3","3","4","3","4","3","4","3"
"328","1","1","1","1","1","1","1","1","1","5","5","1","1","1","1","1"
"329","2","1","3","5","4","4","5","5","2","4","5","4","4","5","5","4"
"330","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3"
"331","2","3","2","2","4","2","4","4","3","4","4","4","2","3","4","2"
